,property_id,property_type,price,city,province_name,latitude,longitude,baths,bedrooms,date_added,agency,agent,Total_Area,year,month,date
158591,17306402,House,4050000,Faisalabad,Punjab,31.379581,73.065255,0,0,2019-07-17,MA Estate Agency,Chaudhary Asif Warraich,544.502,2019,7,2019-07-01
158592,17306404,House,4025000,Faisalabad,Punjab,31.379581,73.065255,0,0,2019-07-17,MA Estate Agency,Chaudhary Asif Warraich,544.502,2019,7,2019-07-01
158593,17306406,House,12500000,Faisalabad,Punjab,31.375078,73.061673,0,0,2019-07-17,MA Estate Agency,Chaudhary Asif Warraich,1089.004,2019,7,2019-07-01
158594,17306410,House,12500000,Faisalabad,Punjab,31.375078,73.061673,0,0,2019-07-17,MA Estate Agency,Chaudhary Asif Warraich,1089.004,2019,7,2019-07-01
158595,17305278,House,12000000,Rawalpindi,Punjab,33.550869,73.056182,5,5,2019-07-17,Al Makkah Property,Pervez Akhtar,2178.008,2019,7,2019-07-01
158596,17305286,House,4500000,Rawalpindi,Punjab,33.550869,73.056182,4,4,2019-07-17,Al Makkah Property,Pervez Akhtar,1089.004,2019,7,2019-07-01
158597,17305302,House,4900000,Rawalpindi,Punjab,33.550869,73.056182,5,5,2019-07-17,Al Makkah Property,Pervez Akhtar,1361.255,2019,7,2019-07-01
158598,17305309,House,11000000,Rawalpindi,Punjab,33.550869,73.056182,5,5,2019-07-17,Al Makkah Property,Pervez Akhtar,2178.008,2019,7,2019-07-01
158599,17305314,House,4500000,Rawalpindi,Punjab,33.550869,73.056182,2,2,2019-07-17,Al Makkah Property,Pervez Akhtar,1361.255,2019,7,2019-07-01
158600,17305325,House,5200000,Rawalpindi,Punjab,33.550869,73.056182,2,2,2019-07-17,Al Makkah Property,Pervez Akhtar,1361.255,2019,7,2019-07-01
158601,17305339,House,6200000,Rawalpindi,Punjab,33.550869,73.056182,2,2,2019-07-17,Al Makkah Property,Pervez Akhtar,1361.255,2019,7,2019-07-01
158602,17305345,House,5800000,Rawalpindi,Punjab,33.550869,73.056182,2,2,2019-07-17,Al Makkah Property,Pervez Akhtar,1361.255,2019,7,2019-07-01
158603,17305358,House,9500000,Rawalpindi,Punjab,33.550869,73.056182,4,4,2019-07-17,Al Makkah Property,Pervez Akhtar,2178.008,2019,7,2019-07-01
158604,17305371,House,5000000,Rawalpindi,Punjab,33.550869,73.056182,2,2,2019-07-17,Al Makkah Property,Pervez Akhtar,1089.004,2019,7,2019-07-01
158605,17305543,House,19500000,Rawalpindi,Punjab,33.543004,73.067576,4,4,2019-07-17,Usman Property & Builders,"Malik Aamir, Zafar Iqbal",2722.51,2019,7,2019-07-01
158606,17305555,House,14000000,Rawalpindi,Punjab,33.543004,73.067576,4,4,2019-07-17,Usman Property & Builders,"Malik Aamir, Zafar Iqbal",2722.51,2019,7,2019-07-01
158607,17305568,House,21000000,Rawalpindi,Punjab,33.543004,73.067576,4,4,2019-07-17,Usman Property & Builders,"Malik Aamir, Zafar Iqbal",2722.51,2019,7,2019-07-01
